0 49
3 25 17
18 49 10
15 37 5
44 48 12
22 37 12
38 41 8
5 26 9
42 49 19
9 20 16
24 44 11
23 32 2
40 48 8
15 19 2
27 32 12
25 27 6
2 15 3
24 43 17
6 18 1
23 34 2
12 27 5
41 44 5
24 49 3
14 45 16
5 7 2
45 46 3
34 35 5
21 49 15
45 48 15
48 49 5
15 23 12
35 43 18
40 47 13
18 32 19
48 49 9
13 15 17
10 16 20
9 28 11
25 48 3
12 17 6
35 45 12
47 49 10
32 41 7
45 46 6
23 37 11
37 39 8
41 43 12
23 45 16
12 36 10
6 47 2
33 40 12
7 28 7
9 31 1
3 31 9
18 21 20
39 40 18
26 49 3
22 35 3
47 49 2
3 34 11
19 33 19
32 45 10
15 48 2
3 16 17
0 13 13
39 49 20
17 41 17
27 44 10
14 18 6
11 28 4
44 49 16
11 42 16
11 40 10
40 48 15
36 38 5
9 37 19
30 37 19
48 49 8
39 46 15
26 30 3
26 35 6
48 49 20
29 36 20
38 48 5
29 33 20
40 49 20
25 33 20
33 40 10
12 35 5
25 28 9
0 6 5
21 33 8
36 42 6
0 2 19
2 3 9
3 5 3
5 9 9
9 10 15
10 11 12
11 12 3
12 14 6
14 22 8
22 24 6
24 29 2
