0 49
7 19 9
0 2 7
16 39 4
39 48 2
28 30 6
4 33 15
28 38 8
44 49 17
12 13 6
4 29 18
42 49 3
21 49 16
20 26 17
29 40 16
48 49 10
9 15 2
29 38 3
11 40 7
28 36 9
48 49 19
36 39 7
31 38 9
22 23 15
6 30 6
1 36 6
45 49 10
44 49 4
46 49 14
47 48 8
34 47 10
33 35 4
32 42 14
41 49 11
6 35 3
22 26 16
15 39 19
28 48 15
8 29 4
7 45 16
27 49 9
48 49 11
26 39 17
44 48 14
18 22 5
45 49 9
24 26 13
3 7 11
8 18 14
6 18 9
19 29 2
2 20 19
42 46 13
12 35 17
17 33 4
45 48 3
28 34 19
10 26 1
44 47 8
21 36 17
26 36 16
12 47 12
24 31 8
32 36 5
11 30 14
11 12 7
14 47 3
43 44 12
33 35 14
42 45 20
22 37 20
27 32 13
23 43 2
26 49 8
10 47 20
13 23 11
43 49 17
24 25 18
22 32 19
18 34 12
27 32 11
23 31 10
6 13 4
11 29 14
23 30 8
47 48 6
6 23 4
48 49 1
6 14 15
12 28 7
7 34 6
16 34 14
0 40 18
28 38 10
0 1 7
1 3 1
3 4 10
4 6 14
6 8 2
8 9 18
9 10 16
10 11 17
11 16 14
16 17 3
17 21 4
21 24 14
24 27 4
27 41 18
